timestamp,participantId,itemId
121859,1.0,2003.0
127723,6.0,2010.0
130627,7.0,2003.0
151014,9.0,2003.0
188365,8.0,2010.0
220157,4.0,2003.0
249719,8.0,2010.0
250120,8.0,2003.0
321601,2.0,2003.0
352345,7.0,1036.0
352345,7.0,1036.0
390758,4.0,2010.0
394226,4.0,2010.0
395665,5.0,2003.0
397464,10.0,2003.0
397862,4.0,2010.0
398633,10.0,2003.0
474745,4.0,1042.0
483587,2.0,1036.0
504639,3.0,1052.0
504639,10.0,2055.0
506305,6.0,2055.0
514150,6.0,2010.0
528200,7.0,1042.0
531034,7.0,3340.0
532568,6.0,2010.0
532834,4.0,2003.0
541968,9.0,1036.0
541968,9.0,1036.0
556007,8.0,2003.0
559279,10.0,1028.0
559279,10.0,1029.0
565717,1.0,1036.0
565717,1.0,1036.0
574967,8.0,2010.0
585285,7.0,3364.0
610492,4.0,1042.0
614925,10.0,3858.0
616858,5.0,1052.0
616858,5.0,1027.0
620065,7.0,6670.0
620065,7.0,1043.0
626568,8.0,3802.0
626568,8.0,1026.0
655563,9.0,3134.0
655563,9.0,3133.0
657763,10.0,1001.0
659733,10.0,3340.0
697132,2.0,2055.0
716370,2.0,3134.0
716370,2.0,3133.0
720377,8.0,2419.0
721111,7.0,2055.0
749700,7.0,3513.0
749932,3.0,3802.0
749932,3.0,3108.0
755336,3.0,2422.0
771217,9.0,1036.0
774286,9.0,1001.0
774286,9.0,1029.0
774286,1.0,3133.0
774286,1.0,1036.0
785021,5.0,3850.0
789563,8.0,1001.0
852432,2.0,1001.0
855095,5.0,3340.0
855864,2.0,3340.0
861304,4.0,6670.0
861304,4.0,1018.0
890512,7.0,1001.0
904503,6.0,3133.0
904503,6.0,3057.0
904503,6.0,3067.0
973933,9.0,3134.0
973933,9.0,1037.0
985455,10.0,3023.0
985455,10.0,1033.0
986758,1.0,1001.0
986758,1.0,1029.0
996612,7.0,2055.0
1034271,10.0,2055.0
1073098,2.0,1036.0
1085310,4.0,1028.0
1093958,8.0,1058.0
1101535,5.0,3802.0
1101535,5.0,1026.0
1101903,3.0,3145.0
1101903,3.0,3108.0
1107049,7.0,1103.0
1108685,7.0,3364.0
1129617,8.0,2423.0
1143140,8.0,2055.0
1195515,2.0,1101.0
1224640,1.0,1036.0
1224640,1.0,1036.0
1270338,5.0,3851.0
1277659,2.0,1028.0
1282032,2.0,1028.0
1287440,10.0,3859.0
1287807,4.0,1036.0
1298953,7.0,3513.0
1302157,1.0,1036.0
1302157,1.0,1036.0
1334833,9.0,3155.0
1334833,9.0,1036.0
1378376,8.0,1052.0
1378376,8.0,2424.0
1379639,7.0,3057.0
1379639,7.0,1036.0
1379639,7.0,1036.0
1379639,7.0,3067.0
1379739,3.0,1052.0
1381185,10.0,1028.0
1381185,10.0,1029.0
1381882,10.0,1029.0
1387289,4.0,3057.0
1387289,4.0,3051.0
1387289,4.0,3067.0
1393863,6.0,6660.0
1393863,6.0,1029.0
1407817,8.0,2055.0
1417669,10.0,3023.0
1417669,10.0,3024.0
1486855,2.0,3133.0
1486855,2.0,3067.0
1486855,2.0,1036.0
1508579,3.0,1052.0
1510242,4.0,3340.0
1514421,7.0,2055.0
1531686,1.0,3134.0
1531686,1.0,3133.0
1554831,6.0,1033.0
1565612,4.0,1042.0
1583427,5.0,1052.0
1584131,3.0,3145.0
1584131,3.0,1058.0
